inst#,actual,predicted,error
1,2,2.059,0.059
2,3,3.034,0.034
3,2,2.045,0.045
4,3,3.034,0.034
5,3,3.034,0.034
6,2,2.059,0.059
7,2,2.059,0.059
8,3,3.018,0.018
9,2,1.949,-0.051
10,2,2.09,0.09
11,1,1.063,0.063
12,2,1.957,-0.043
13,2,2.059,0.059
14,1,1.063,0.063
15,2,2.059,0.059
16,3,3.018,0.018
17,3,3.018,0.018
18,3,3.034,0.034
19,3,3.034,0.034
20,3,3.02,0.02
21,3,3.022,0.022
22,1,1.063,0.063
23,1,1.063,0.063
24,1,1.191,0.191
25,3,3.034,0.034
26,1,1.063,0.063
27,3,3.034,0.034
28,1,1.063,0.063
29,2,2.117,0.117
30,1,1.063,0.063
31,2,1.95,-0.05
32,1,1.063,0.063
33,2,2.058,0.058
34,1,1.063,0.063
35,2,1.948,-0.052
36,1,1.063,0.063
37,3,3.02,0.02
38,1,1.063,0.063
39,3,3.034,0.034
40,2,2.059,0.059
41,3,3.018,0.018
42,1,1.063,0.063
43,3,3.018,0.018
44,3,3.019,0.019
45,3,3.019,0.019
46,1,1.063,0.063
47,1,1.063,0.063
48,2,1.95,-0.05
49,1,1.063,0.063
50,2,2.055,0.055
51,3,3.018,0.018
52,1,1.063,0.063
53,1,1.063,0.063
54,2,1.952,-0.048
55,2,1.969,-0.031
56,1,1.059,0.059
57,2,2.058,0.058
58,2,2.12,0.12
59,3,3.034,0.034
60,3,3.025,0.025
61,3,3.018,0.018
